MarketHour,CSWS,EDE,GRDA,INDN,KACY,KCPL,LES,MPS,NPPD,OKGE,OPPD,SECI,SPRM,SPS,WFEC,WR
3/1/11 7:00,4372.211,600.563,492.437,106.759,276.681,1676.861,341.915,964.655,1655.696,2900.941,1218.919,549.141,305.851,3065.212,831.299,2949.848
3/1/11 8:00,4329.336,600.975,490.859,103.626,271.295,1651.637,330.554,954.125,1648.719,2855.137,1181.303,539.785,299.943,3042.79,833.222,2900.175
3/1/11 9:00,4347.189,606.212,492.622,102.405,272.058,1641.929,325.97,949.682,1642.139,2840.97,1164.515,536.968,297.112,3047.476,839.958,2875.79
3/1/11 10:00,4402.17,614.63,494.456,103.433,272.912,1655.003,327.407,955.268,1654.001,2839.53,1164.256,535.335,297.771,3063.943,851.55,2880.024
3/1/11 11:00,4568.082,635.677,503.273,107.025,275.285,1690.789,337.444,980.255,1686.188,3003.11,1197.059,540.677,306.096,3108.398,874.774,2949.681
3/1/11 12:00,4966.893,684.605,523.27,116.245,289.312,1818.972,363.772,1057.969,1781.267,3222.426,1276.736,560.935,328.013,3190.074,935.085,3139.265
3/1/11 13:00,5630.916,765.783,558.342,126.736,308.19,2025.768,415.176,1164.296,1951.873,3565.627,1416.181,606.004,360.591,3409.506,1031.236,3467.016
3/1/11 14:00,5721.086,775.761,564.415,127.053,313.406,2071.562,436.365,1166.662,1997.005,3675.457,1451.123,630.113,375.611,3521.83,1014.07,3566.041
3/1/11 15:00,5461.059,730.161,553.687,125.42,315.056,2011.088,427.773,1123.087,1891.361,3586.605,1426.419,643.33,377.239,3470.106,912.097,3548.35
3/1/11 16:00,5244.562,684.565,538.312,124.032,302.745,1967.258,417.46,1083.131,1818.737,3487.758,1398.233,644.347,377.131,3418.267,847.893,3503.201
3/1/11 17:00,5067.059,644.29,526.177,123.994,300.36,1923.615,414.136,1051.208,1764.605,3414.854,1379.057,642.323,373.309,3373.644,801.533,3464.25
3/1/11 18:00,4869.831,609.878,514.456,122.133,300.276,1888.576,405.923,1016.053,1720.943,3325.031,1356.354,644.98,366.094,3323.548,763.433,3404.361
3/1/11 19:00,4715.951,580.967,495.485,118.154,294.378,1841.831,400.068,980.585,1665.433,3265.923,1334.529,631.385,358.878,3258.85,727.854,3332.673
3/1/11 20:00,4632.967,558.694,484.007,115.753,287.572,1802.129,394.464,952.643,1637.663,3198.401,1319.28,626.057,354.806,3247.897,712.954,3294.308
3/1/11 21:00,4561.879,540.838,480.437,114.167,284.833,1760.795,386.74,923.71,1607.823,3152.565,1293.713,625.946,349.283,3237.09,699.767,3226.811
3/1/11 22:00,4523.772,531.406,460.738,113.649,278.224,1723.495,378.337,904.249,1631.42,3085.173,1278.81,615.15,343.984,3238.743,696.083,3160.096
3/1/11 23:00,4498.704,530.465,461.09,114.449,270.14,1701.438,375.676,901.893,1663.403,3069.316,1275.288,613.572,340.103,3268.335,699.838,3146.523
3/2/11 0:00,4502.24,536.602,461.081,118.152,262.316,1711.512,380.401,918.389,1690.253,3025.964,1300.328,596.284,338.874,3254.484,713.335,3121.847
3/2/11 1:00,4802.069,579.296,484.631,127.874,283.303,1824.92,404.061,1000.669,1799.37,3203.98,1391.106,601.436,361.534,3298.845,772.656,3278.096
3/2/11 2:00,5012.685,592.408,498.377,130.195,284.508,1860.362,418.485,1031.466,1901.573,3323.36,1430.171,628.341,363.533,3426.696,836.85,3375.47
3/2/11 3:00,4989.362,590.806,499.671,128.069,285.907,1831.833,417.212,1024.575,1933.845,3287.117,1423.961,622.924,354.442,3401.473,842.617,3334.296
3/2/11 4:00,4830.26,571.356,490.612,120.847,280.983,1763.948,403.453,995.702,1919.458,3180.716,1380.734,606.226,338.06,3321.852,829.717,3218.682
3/2/11 5:00,4561.709,537.659,479.652,109.769,271.567,1645.855,376.435,932.115,1874.654,2990.869,1301.416,583.548,315.583,3229.108,790.828,3010.311
3/2/11 6:00,4273.41,503.664,463.941,99.7,260.571,1535.172,352.308,877.402,1813.105,2789.599,1228.752,557.44,294.172,3101.792,742.382,2827.56
3/2/11 7:00,4132.116,489.029,457.913,94.852,256.137,1476.113,340.237,854.099,1790.919,2669.6,1196.787,539.251,279.281,3015.12,722.294,2713.932
3/2/11 8:00,4080.258,488.059,452.323,93.357,253.114,1458.191,335.453,852.516,1800.494,2619.011,1182.163,533.737,272.284,2986.345,720.417,2683.224
3/2/11 9:00,4086.902,492.12,456.26,93.224,256.299,1467.561,338.877,862.352,1785.17,2598.029,1185.518,535.436,268.314,2978.449,720.034,2683.759
3/2/11 10:00,4137.557,500.102,457.742,94.772,259.471,1494.174,346.765,880.542,1847.536,2609.775,1198.612,537.368,266.781,2982.771,726.093,2710.221
3/2/11 11:00,4290.582,525.819,465.436,100.385,266.134,1561.743,359.41,920.334,1902.504,2699.733,1237.509,550.002,274.683,3029.78,747.485,2805.838
3/2/11 12:00,4672.793,580.723,487.325,109.177,279.938,1713.479,389.492,1009.465,1996.356,2915.04,1327.042,576.954,295.654,3140.397,808.272,3032.229
3/2/11 13:00,5314.729,661.469,517.943,121.412,303.083,1935.634,437.044,1128.978,2181.577,3262.279,1468.208,625.912,329.914,3347.033,906.985,3413.255
3/2/11 14:00,5444.277,685.469,519.755,124.075,308.115,2026.442,460.198,1157.122,2241.015,3410.835,1506.034,663.212,348.436,3470.831,908.332,3579.433
3/2/11 15:00,5317.882,659.258,525.648,125.001,320.592,1989.19,456.623,1124.029,2171.56,3389.838,1488.91,681.077,353.384,3416.989,850.596,3588.486
3/2/11 16:00,5148.609,637.418,525.207,125.01,315.409,1960.833,454.216,1092.916,2123.706,3353.561,1494.308,688.376,355.957,3363.131,816.66,3563.738
3/2/11 17:00,4980.552,610.88,522.709,126.114,314.052,1946.746,454.595,1072.835,2098.295,3322.249,1503.568,691.105,357.469,3350.578,783.138,3546.025
3/2/11 18:00,4831.806,589.485,515.139,125.386,311.267,1908.178,450.346,1049.257,2079.523,3285.165,1488.156,688.663,355.302,3329.969,755.151,3489.879
3/2/11 19:00,4732.235,568.667,506.336,123.2,304.808,1874.461,443.292,1023.282,1996.374,3228.178,1464.779,682.67,354.714,3290.856,731.128,3430.771
3/2/11 20:00,4698.367,550.493,501.5,120.23,299.063,1835.219,437.983,1000.482,1995.41,3174.757,1442.411,657.028,348.766,3310.76,724.244,3390.471
3/2/11 21:00,4644.564,536.984,495.352,117.612,293.526,1795.948,425.999,967.814,1933.573,3122.873,1415.7,648.767,345.865,3360.089,711.918,3325.452
3/2/11 22:00,4594.386,527.73,487.226,116.367,285.43,1765.401,412.185,952.843,1882.672,3099.207,1392.661,636.408,341.734,3382.305,711.079,3271.458
3/2/11 23:00,4569.713,527.385,482.401,117.988,278.422,1759.29,410.846,959.037,1872.306,3094.987,1391.999,634.144,342.825,3405.853,717.127,3240.228
3/3/11 0:00,4579.144,539.553,480.071,122.3,276.022,1792.523,418.133,989.905,1895.236,3072.77,1413.692,625.139,341.757,3392.251,729.145,3242.155
3/3/11 1:00,4847.206,579.429,498.545,134.031,292.165,1910.7,444.136,1073.585,1966.611,3212.645,1499.945,635.101,359.261,3387.245,779.561,3417.465
3/3/11 2:00,5001.918,593.09,507.688,137.394,300.839,1954.3,453.734,1105.165,2033.072,3314.89,1527.739,654.788,359.311,3484.285,834.741,3504.369
3/3/11 3:00,4946.471,587.95,503.235,136.335,296.882,1922.146,445.412,1094.319,2009.437,3288.942,1506.648,645.381,350.344,3469.336,837.41,3461.857
3/3/11 4:00,4788.736,568.478,495.481,129.008,293.253,1851.678,425.814,1060.474,1945.322,3197.041,1438.68,638.34,334.545,3412.885,822.978,3359.047
3/3/11 5:00,4479.314,533.642,479.731,116.787,281.241,1725.251,391.53,986.93,1852.122,2982.898,1334.109,609.548,310.542,3299.952,781.858,3143.567
3/3/11 6:00,4180.934,498.346,463.514,105.454,267.107,1605.525,360.741,927.363,1750.625,2791.374,1241.838,581.558,288.22,3157.672,735.407,2943.452
3/3/11 7:00,4008.788,477.784,454.221,99.898,260.582,1536.429,341.675,894.079,1705.369,2666.636,1190.183,561.292,273.221,3071.03,706.066,2825.839
3/3/11 8:00,3952.04,469.86,450.75,98.028,257.306,1506.571,330.578,874.102,1694.361,2589.793,1161.026,539.676,265.558,3042.975,700.184,2757.362
3/3/11 9:00,3967.223,473.63,449.386,96.769,255.246,1494.787,325.313,870.551,1683.162,2553.992,1143.359,534.425,261.288,3027.092,704.685,2734.051
3/3/11 10:00,3998.933,481.386,450.916,95.965,255.367,1495.496,325.195,874.52,1681.998,2541.203,1142.871,532.827,260.871,3033.543,710.308,2732.706
3/3/11 11:00,4128.749,500.598,453.199,99.698,257.666,1533.54,333.417,901.611,1707.001,2604.028,1171.88,539.624,268.315,3067.704,732.058,2803.366
3/3/11 12:00,4501.722,549.067,462.264,106.77,268.699,1645.788,358.058,970.255,1789.575,2816.369,1245.929,570.573,290.314,3148.892,783.065,2994.791
3/3/11 13:00,5128.061,629.546,492.945,116.917,292.922,1843.356,405.306,1072.491,1902.769,3176.932,1374.268,626.125,323.232,3323.143,872.533,3334.53
3/3/11 14:00,5272.333,651.805,504.873,118.538,297.14,1910.943,430.435,1087.888,1971.379,3293.492,1430.563,655.598,340.418,3440.04,871.767,3454.695
3/3/11 15:00,5100.906,631.611,502.253,118.266,297.232,1868.029,427.526,1054.607,1924.333,3269.44,1423.82,665.905,345.249,3421.092,817.106,3454.703
3/3/11 16:00,4962.217,609.223,497.466,116.171,289.162,1834.213,418.533,1011.999,1906.09,3236.819,1417.938,677.005,347.656,3360.33,786.032,3443.718
3/3/11 17:00,4865.375,587.905,491.616,117.714,289.055,1810.902,410.033,987.065,1852.068,3207.81,1396.198,657.644,350.401,3274.477,754.905,3408.881
3/3/11 18:00,4751.411,568.305,484.423,116.139,278.28,1774.168,402.52,961.599,1809.747,3154.561,1376.316,641.737,348.069,3255.705,731.798,3359.152
3/3/11 19:00,4659.257,552.011,480.635,115.017,280.187,1745.904,397.855,929.448,1751.339,3109.505,1351.215,633.845,345.665,3261.917,714.392,3304.101
3/3/11 20:00,4651.973,539.628,481.07,113.411,279.139,1730.905,394.028,909.078,1723.821,3108.236,1338.318,623.034,344.411,3288.271,711.311,3269.387
3/3/11 21:00,4611.048,526.39,484.834,112.507,275.056,1703.93,390.445,891.311,1672.358,3095.158,1319.39,617.844,340.503,3325.601,703.597,3221.241
3/3/11 22:00,4564.399,517.875,477.353,111.698,265.55,1678.84,378.688,880.884,1638.393,3074.781,1300.688,608.437,337.496,3363.653,697.829,3148.657
3/3/11 23:00,4575.305,514.755,469.974,112.465,262.139,1666.434,373.915,884.589,1646.943,3051.104,1299.091,598.648,336.888,3391.134,701.465,3104.498
3/4/11 0:00,4598.043,520.165,472.61,116.141,259.804,1666.01,375.462,900.571,1659.891,3026.476,1312.504,595.212,337.314,3390.543,713.263,3093.626
3/4/11 1:00,4847.475,559.479,492.428,125.534,269,1761.586,394.964,970.102,1746.425,3155.669,1382.214,600.822,354.601,3387.115,756.175,3250.233
3/4/11 2:00,4993.196,569.649,502.858,128.251,276.352,1792.642,404.448,993.811,1815.631,3238.526,1410.742,622.437,355.4,3489.163,793.851,3353.72
3/4/11 3:00,4906.344,561.985,498.292,125.064,275.032,1755.351,395.43,974.885,1808.448,3224.126,1391.242,617.261,345.795,3479.426,791.123,3310.818
3/4/11 4:00,4696.485,540.406,485.72,116.389,265.504,1675.054,374.351,932.632,1771.769,3111.408,1334.085,606.954,328.665,3394.511,771.811,3185.22
3/4/11 5:00,4359.032,501.141,468.539,104.192,257.426,1544.437,345.327,856.72,1711.062,2884.148,1240.644,586.725,304.966,3282.747,730.765,2967.612
3/4/11 6:00,4010.394,458.05,447.373,93.228,244.619,1425.515,319.716,789.736,1599.754,2674.525,1155.126,556.961,281.827,3142.649,682.112,2763.392
3/4/11 7:00,3806.168,434.1,435.248,86.922,238.791,1346.295,303.898,753.444,1564.455,2512.5,1112.351,539.57,264.216,3045.348,656.775,2643.546
3/4/11 8:00,3679.087,423.348,428.981,83.682,234.217,1312.588,296.327,735.959,1579.117,2421.266,1095.1,529.534,254.887,3014.038,640.911,2590.018
3/4/11 9:00,3591.476,420.706,424.222,81.847,231.058,1293.32,294.64,732.557,1588.414,2365.316,1092.591,529.492,249.653,2995.338,639.123,2555.832
3/4/11 10:00,3607.687,423.862,424.236,81.691,229.77,1293.609,297.229,739.22,1586.3,2361.224,1103.382,532.796,247.901,2975.579,635.303,2553.602
3/4/11 11:00,3687.903,438.258,431.258,84.661,232.628,1324.048,309.107,761.955,1626.984,2427.617,1139.172,535.914,252.7,2975.886,645.463,2614.009
3/4/11 12:00,3952.173,476.419,450.308,91.763,242.276,1441.283,337.788,828.375,1737.721,2550.214,1217.089,552.98,272.514,3054.761,690.379,2806.127
3/4/11 13:00,4470.856,552.007,481.546,103.871,267.632,1640.866,388.065,932.353,1908.179,2923.736,1352.923,594.113,302.905,3241.818,773.307,3125.695
3/4/11 14:00,4639.192,577.999,496.489,107.045,277.935,1730.038,424.619,966.484,1990.451,3092.011,1424.676,628.712,318.399,3355.389,784.902,3289.85
3/4/11 15:00,4658.02,564.677,499.588,109.103,281.811,1743.622,432.729,964.962,2009.527,3152.681,1441.394,645.545,331.771,3350.861,755.954,3362.869
3/4/11 16:00,4679.242,556.227,502.453,112.867,283.676,1763.238,440.206,960.058,2073.582,3156.458,1462.962,650.044,338.653,3362.089,745.383,3371.255
3/4/11 17:00,4719.276,545.662,506.215,114.516,284.961,1774.263,446.783,954.814,2071.974,3176.975,1482.644,657.284,341.484,3367.46,733.271,3405.149
3/4/11 18:00,4697.969,539.912,506.676,116.96,287.864,1787.166,450.833,953.023,2073.038,3166.32,1483.532,655.79,341.197,3364.054,727.111,3431.964
3/4/11 19:00,4689.826,536.553,505.893,119.757,297.078,1853.506,450.92,975.404,2013.128,3144.331,1484.402,651.649,340.343,3341.745,717.191,3414.852
3/4/11 20:00,4671.826,535.358,506.004,125.086,298.995,1891.507,448.361,1002.959,1953.139,3144.662,1477.784,650.787,339.79,3332.005,711.827,3401.304
3/4/11 21:00,4642.688,528.371,501.003,122.917,297.194,1809.209,443.964,999.351,1952.436,3096.107,1466.096,637.13,335.63,3334.892,702.727,3381.692
3/4/11 22:00,4598.068,521.725,490.911,122.437,290.086,1801.252,432.118,997.163,1942.869,3050.895,1452.72,619.106,333.574,3327.301,703.836,3342.264
3/4/11 23:00,4584.683,531.945,491.868,126.449,288.925,1849.06,422.01,1030.724,1929.404,3057.9,1449.392,615.946,335.679,3317.02,713.054,3337.426
3/5/11 0:00,4601.945,546.822,497.838,131.234,288.223,1907.569,422.597,1056.477,1968.308,3083.771,1451.584,605.49,343.167,3280.478,735.674,3379.42
3/5/11 1:00,4769.469,566.828,517.101,136.595,299.194,1953.876,446.861,1087.955,2013.008,3216.682,1503.7,614.024,345.695,3300.81,787.497,3490.024
3/5/11 2:00,4818.618,561.48,512.312,135.342,297.449,1930.085,454.693,1078.618,2077.701,3256.178,1511.236,630.692,334.914,3391.555,824.819,3510.959
3/5/11 3:00,4750.326,556.105,509.291,132.681,289.978,1897.822,445.617,1069.075,2073.943,3234.63,1483.754,624.943,325.911,3382.121,828.631,3462.91
3/5/11 4:00,4613.605,543.532,503.197,127.539,277.576,1851.369,433.308,1044.288,2022.699,3188.429,1432.766,616.611,313.506,3337.267,824.539,3378.219
3/5/11 5:00,4400.374,522.708,491.119,118.095,269.007,1764.945,407.893,994.865,1978.395,3062.597,1356.902,599.368,296.006,3276.64,808.494,3220.344
3/5/11 6:00,4158.787,500.259,475.001,108.728,257.677,1667.968,381.145,940.358,1914.567,2934.146,1284.984,574.834,279.168,3161.604,783.823,3042.386
3/5/11 7:00,3960.905,485.193,466.469,103.269,250.318,1611.779,364.294,918.444,1864.13,2822.891,1234.439,558.912,265.952,3115.027,771.742,2928.619
3/5/11 8:00,3865.755,480.834,461.779,101.329,246.016,1589.012,356.405,911.376,1840.738,2776.111,1209.413,551.526,259.681,3084.611,774.618,2888.392
3/5/11 9:00,3791.529,483.233,463.249,100.871,240.282,1581.723,352.5,913.324,1839.594,2775.765,1196.955,545.471,256.059,3075.456,782.706,2871.304
3/5/11 10:00,3803.949,495.637,465.599,101.007,239.572,1595.913,352.794,920.593,1849.221,2771.674,1186.662,541.301,257.286,3078.804,796.148,2869.037
3/5/11 11:00,3850.956,516.453,474.149,103.419,240.927,1623.898,358.844,936.805,1881.936,2825.112,1205.711,545.341,264.595,3097.937,816.146,2905.856
3/5/11 12:00,4021.145,550.247,484.329,107.82,245.219,1688.669,371.978,977.25,1926.408,2960.973,1236.519,553.742,276.819,3178.052,856.431,3004.798
3/5/11 13:00,4260.107,595.335,499.904,113.741,251.454,1787.723,390.83,1026.321,2035.763,3124.562,1286.87,572.579,294.808,3281.925,909.164,3145.521
3/5/11 14:00,4502.317,637.142,511.359,117.733,250.982,1840.381,401.193,1070.677,2072.079,3255.792,1316.032,582.356,309.656,3340.254,953.378,3229.388
3/5/11 15:00,4813.03,682.298,533.206,124.385,258.163,1881.899,409.305,1107.015,2071.729,3404.042,1346.029,593.026,323.773,3392.551,984.125,3333.022
3/5/11 16:00,5059.941,711.674,544.35,129.61,261.034,1896.975,416.715,1113.802,2047.033,3458.597,1369.588,599.329,344.21,3411.631,979.385,3384.116
3/5/11 17:00,5139.009,718.776,551.098,131.303,261.121,1885.153,416.81,1101.328,2011.36,3457.104,1377.498,600.084,354.775,3390.236,949.792,3381.866
3/5/11 18:00,5097.76,701.273,541.181,128.992,255.307,1847.93,411.361,1075.812,1940.197,3401.775,1369.638,593.646,358.321,3356.306,913.493,3326.914
3/5/11 19:00,4972.498,672.342,524.745,125.913,251.271,1796.711,399.814,1039.72,1816.585,3293.047,1334.615,582.146,356.708,3305.397,864.325,3233.793
3/5/11 20:00,4835.122,645.421,509.082,122.973,245.253,1738.562,387.393,1005.002,1759.395,3181.142,1297.86,570.437,352.762,3256.51,825.254,3135.822
3/5/11 21:00,4687.69,620.576,494.239,118.686,238.201,1688.027,373.586,970.476,1701.675,3077.773,1261.94,561.643,348.277,3219.142,793.137,3051.352
3/5/11 22:00,4605.18,605.318,482.333,116.338,232.938,1651.439,364.578,950.379,1672.362,3014.926,1236.82,557.727,343.677,3195.853,777.994,2993.288
3/5/11 23:00,4608.113,605.219,481.765,116.513,231.689,1650.935,361.066,952.919,1667.511,2987.665,1235.809,555.613,345.41,3176.709,771.1,2986.194
3/6/11 0:00,4698.816,620.412,488.486,120.486,234.994,1690.822,367.184,979.434,1708.374,3035.417,1260.07,553.719,353.757,3171.59,789.373,3028.44
3/6/11 1:00,5017.285,658.765,516.079,132.5,250.341,1823.199,392.097,1054.622,1813.411,3209.791,1348.459,559.74,369.661,3204.883,841.655,3204.233
